work_id,author_id,institution_id
https://openalex.org/W1562630836,https://openalex.org/A5050707067,https://openalex.org/I4210145268
https://openalex.org/W1990496354,https://openalex.org/A5111835898,https://openalex.org/I142974352
https://openalex.org/W1990536671,https://openalex.org/A5007057615,https://openalex.org/I268975460
https://openalex.org/W1990536671,https://openalex.org/A5024823565,https://openalex.org/I268975460
https://openalex.org/W1990536671,https://openalex.org/A5077025710,https://openalex.org/I268975460
https://openalex.org/W1990536671,https://openalex.org/A5085418389,https://openalex.org/I268975460
https://openalex.org/W1990536671,https://openalex.org/A5103440636,https://openalex.org/I268975460
https://openalex.org/W1990536671,https://openalex.org/A5111551731,https://openalex.org/I268975460
https://openalex.org/W1990742694,https://openalex.org/A5002773536,https://openalex.org/I183067930
https://openalex.org/W1990742694,https://openalex.org/A5015577984,https://openalex.org/I183067930
https://openalex.org/W1990742694,https://openalex.org/A5079656901,https://openalex.org/I183067930
https://openalex.org/W1990742694,https://openalex.org/A5100719885,https://openalex.org/I183067930
https://openalex.org/W1990742694,https://openalex.org/A5107888530,https://openalex.org/I183067930
https://openalex.org/W1990871621,https://openalex.org/A5052874250,https://openalex.org/I1308126019
https://openalex.org/W1990871621,https://openalex.org/A5067304513,https://openalex.org/I1308126019
https://openalex.org/W1991140266,https://openalex.org/A5005963737,https://openalex.org/I141810926
https://openalex.org/W1991140266,https://openalex.org/A5009514589,https://openalex.org/I47807954
https://openalex.org/W1991140266,https://openalex.org/A5009514589,https://openalex.org/I174216632
https://openalex.org/W1991140266,https://openalex.org/A5034625687,https://openalex.org/I141810926
https://openalex.org/W1991140266,https://openalex.org/A5037380376,https://openalex.org/I39694355
https://openalex.org/W1991140266,https://openalex.org/A5037380376,https://openalex.org/I174216632
https://openalex.org/W1991140266,https://openalex.org/A5041026215,https://openalex.org/I174216632
https://openalex.org/W1991140266,https://openalex.org/A5041026215,https://openalex.org/I39694355
https://openalex.org/W1991140266,https://openalex.org/A5072980225,https://openalex.org/I125687163
https://openalex.org/W1991140266,https://openalex.org/A5072980225,https://openalex.org/I1286891280
https://openalex.org/W1991140266,https://openalex.org/A5076037802,https://openalex.org/I39694355
https://openalex.org/W1991140266,https://openalex.org/A5076037802,https://openalex.org/I174216632
https://openalex.org/W1991140266,https://openalex.org/A5090315473,https://openalex.org/I141810926
https://openalex.org/W1991393918,https://openalex.org/A5017089838,https://openalex.org/I204250578
https://openalex.org/W1991669955,https://openalex.org/A5018742363,https://openalex.org/I1289243028
https://openalex.org/W1991669955,https://openalex.org/A5018742363,https://openalex.org/I75027704
https://openalex.org/W1991669955,https://openalex.org/A5083894196,https://openalex.org/I75027704
https://openalex.org/W1991669955,https://openalex.org/A5083894196,https://openalex.org/I1289243028
https://openalex.org/W1991669955,https://openalex.org/A5109181883,https://openalex.org/I1289243028
https://openalex.org/W1991724841,https://openalex.org/A5018481266,https://openalex.org/I57206974
https://openalex.org/W1991809229,https://openalex.org/A5001006565,https://openalex.org/I129902397
https://openalex.org/W1995680457,https://openalex.org/A5017193780,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5039841003,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5049536127,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5059569486,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5081592816,https://openalex.org/I83019370
https://openalex.org/W1995680457,https://openalex.org/A5081592816,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5088094235,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5090982721,https://openalex.org/I187400657
https://openalex.org/W1995680457,https://openalex.org/A5100336197,https://openalex.org/I187400657
https://openalex.org/W1995972674,https://openalex.org/A5014055213,https://openalex.org/I164950643
https://openalex.org/W1996162400,https://openalex.org/A5002753249,https://openalex.org/I1299119326
https://openalex.org/W2001334274,https://openalex.org/A5022872215,https://openalex.org/I180825142
https://openalex.org/W2003444939,https://openalex.org/A5023727622,https://openalex.org/I4210152813
https://openalex.org/W2003444939,https://openalex.org/A5108402751,https://openalex.org/I4210152813
https://openalex.org/W2003469294,https://openalex.org/A5004965764,https://openalex.org/I98677209
https://openalex.org/W2003596640,https://openalex.org/A5002146860,https://openalex.org/I53964585
https://openalex.org/W2003596640,https://openalex.org/A5026909899,https://openalex.org/I90183372
https://openalex.org/W2003596640,https://openalex.org/A5026909899,https://openalex.org/I1294671590
https://openalex.org/W2003596640,https://openalex.org/A5061447987,https://openalex.org/I68956291
https://openalex.org/W2003596640,https://openalex.org/A5069870288,https://openalex.org/I149899117
https://openalex.org/W2003596640,https://openalex.org/A5069870288,https://openalex.org/I4210087042
https://openalex.org/W2003945840,https://openalex.org/A5030647016,https://openalex.org/I123900574
https://openalex.org/W2003945840,https://openalex.org/A5100443635,https://openalex.org/I123900574
https://openalex.org/W2004141181,https://openalex.org/A5000848496,https://openalex.org/I145872427
https://openalex.org/W2004141181,https://openalex.org/A5000848496,https://openalex.org/I80281795
https://openalex.org/W2004141181,https://openalex.org/A5000848496,https://openalex.org/I2802934949
https://openalex.org/W2004141181,https://openalex.org/A5006291799,https://openalex.org/I141945490
https://openalex.org/W2004141181,https://openalex.org/A5006291799,https://openalex.org/I63098007
https://openalex.org/W2004141181,https://openalex.org/A5036641663,https://openalex.org/I80281795
https://openalex.org/W2004141181,https://openalex.org/A5065805547,https://openalex.org/I141945490
https://openalex.org/W2004141181,https://openalex.org/A5084812288,https://openalex.org/I79619799
https://openalex.org/W2004141181,https://openalex.org/A5084812288,https://openalex.org/I80281795
https://openalex.org/W2004734111,https://openalex.org/A5009513706,https://openalex.org/I11957088
https://openalex.org/W2035737547,https://openalex.org/A5028065206,https://openalex.org/I200870766
https://openalex.org/W2035737547,https://openalex.org/A5028065206,https://openalex.org/I59553526
https://openalex.org/W2035737547,https://openalex.org/A5028065206,https://openalex.org/I1327163397
https://openalex.org/W2035737547,https://openalex.org/A5049390720,https://openalex.org/I1327163397
https://openalex.org/W2035737547,https://openalex.org/A5049390720,https://openalex.org/I59553526
